"","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"88",126,125,53.6992552242371,27327.8,0.472185269631286,27147,180.799999999999,1,4,"none",43.4,137.6,0.239779005524862,0.760220994475138
"89",128,127,60.9117092765935,27635.8,0.460380432577578,27327.8,308,1,5,"none",123.6,184.6,0.401038286826736,0.598961713173264
"90",131,130,65.56776743256,28003,-0.0833595395940863,27635.8,367.200000000001,0,3,"none",161.2,206.2,0.438758845944475,0.561241154055525
"91",132,131,53.9401444193469,28219,-0.0678330370919411,28003,216,0,1,"none",31,185.2,0.143385753931545,0.856614246068455
"92",133,132,48.9469142435447,28610.2,-0.0909897523214489,28219,391.200000000001,0,6,"none",122.6,268.8,0.313234542667348,0.686765457332652
"93",134,133,63.1183990545142,28883.8,1.40904901486498,28610.2,273.599999999999,1,6,"none",25.6,248.2,0.0934989043097151,0.906501095690285
"94",137,136,46.7302971135446,29549.4,0.209106716297278,28883.8,665.600000000002,0,4,"none",202,463.8,0.303394412736558,0.696605587263443
"95",140,139,62.8253199549157,30186.2,0.0985942530691986,29549.4,636.799999999999,1,5,"none",206.2,430.8,0.323704866562009,0.676295133437991
"96",141,140,60.6302908127834,30785.4,-0.107363446254695,30186.2,599.200000000001,0,5,"none",126.4,473,0.210877544210878,0.789122455789122
"97",142,141,29.5024418975634,31253.4,-0.0615910510736832,30785.4,468,0,2,"none",43.8,424.4,0.0935497650576677,0.906450234942332
"98",143,142,55.188057761135,31395.8,0.191209685876611,31253.4,142.399999999998,1,3,"none",53.4,89.2,0.374474053295933,0.625525946704067
"99",145,144,60.0963254892351,31706.2,0.102051403185331,31395.8,310.400000000001,1,4,"none",168,142.6,0.540888602704443,0.459111397295557
"100",147,146,41.5464174008821,31943.8,-0.0964026600020746,31706.2,237.599999999999,0,2,"none",71.2,166.6,0.299411269974769,0.700588730025231
"101",148,147,62.5044627440076,32279.8,-0.0229065412189697,31943.8,336,1,5,"none",151,185.2,0.44913741820345,0.55086258179655
"102",149,148,65.493915612921,32627,-0.0403035005607748,32279.8,347.200000000001,1,6,"none",131.8,215.6,0.379389752446747,0.620610247553253
"103",150,149,58.6576645361112,33039.8,-0.0535689350016944,32627,412.800000000003,1,5,"none",147.2,265.8,0.356416464891041,0.643583535108959
"104",151,150,53.7586652734894,33543.8,-0.0722812836149196,33039.8,504,1,2,"none",130.4,373.8,0.258627528758429,0.741372471241571
"105",152,151,53.6403304634591,33761.4,0.361061995227532,33543.8,217.599999999999,1,2,"none",60.4,157.4,0.277318640955005,0.722681359044995
"106",154,153,15.2024320283907,33859.8,-0.104552077987478,33761.4,98.4000000000015,0,1,"none",53.4,45.2,0.54158215010142,0.45841784989858
"107",155,154,62.6849555148571,34264.6,-0.131128176267077,33859.8,404.799999999996,0,2,"none",41.8,363.2,0.10320987654321,0.89679012345679
"108",156,155,58.128997654149,34787.8,-0.0555100402745177,34264.6,523.200000000004,0,7,"none",150.6,372.8,0.287734046618265,0.712265953381735
"109",157,156,48.9481571952732,35259,-0.108474515057713,34787.8,471.199999999997,0,4,"none",88.4,383,0.187526516758591,0.812473483241409
"110",158,157,51.4970458734294,35501.4,2.08734149110408,35259,242.400000000001,1,4,"none",23.8,218.8,0.0981038746908491,0.901896125309151
"111",162,161,40.3283029111015,36592.8,-0.102685992261634,35501.4,1091.4,NA,NA,"none",806,285.6,0.738365701722243,0.261634298277757
