"","X.1","X","dive","p.max","sec.max","p.min","sec.min","dur","lunges","breaths","comments","surface.time","dive.time","surface.p","dive.p"
"109",109,141,140,18.6653345382547,29155.8,-0.0613260468397936,29092.6,63.2000000000007,1,1,"none",32.4,31,0.511041009463722,0.488958990536278
"110",110,142,141,22.3680824630217,29243,-0.102190774423306,29155.8,87.2000000000007,1,1,"none",28.2,59.2,0.322654462242563,0.677345537757437
"111",111,143,142,25.8635847434115,29415,-0.113500002702862,29243,172,1,1,"none",47.2,125,0.274099883855981,0.725900116144019
"112",112,144,143,22.8523748332479,29574.2,-0.0766231164726356,29415,159.200000000001,2,1,"none",37.8,121.6,0.237139272271016,0.762860727728984
"113",113,145,144,22.945514189417,29693.4,-0.124880338163246,29574.2,119.200000000001,2,1,"none",40.2,79.2,0.336683417085427,0.663316582914573
"114",114,146,145,24.5902988261154,29815,-0.0947732066903182,29693.4,121.599999999999,1,1,"none",27.4,94.4,0.22495894909688,0.77504105090312
"115",115,147,146,23.3013907833321,29939,-0.100614558712172,29815,124,2,1,"none",49,75.2,0.394524959742351,0.605475040257649
"116",116,148,147,21.8401400148139,30040.6,-0.0761137252689625,29939,101.599999999999,1,1,"none",27.6,74.2,0.271119842829077,0.728880157170923
"117",117,149,148,23.5461685560307,30121.4,-0.0696494813935153,30040.6,80.8000000000029,1,1,"none",26.6,54.4,0.328395061728395,0.671604938271605
"118",118,150,149,31.2213573573246,30427,-0.0554858699513296,30121.4,305.599999999999,3,2,"none",55.2,250.6,0.18051013734467,0.81948986265533
"119",119,151,150,29.4265086971882,30503.8,-0.0802399762661405,30427,76.7999999999993,1,1,"none",27.6,49.4,0.358441558441558,0.641558441558442
"120",120,152,151,25.6335724768875,30611.8,-0.095651850091274,30503.8,108,1,1,"none",40.2,68,0.371534195933457,0.628465804066543
"121",121,153,152,25.3329498729801,30762.2,-0.0978454300507412,30611.8,150.400000000001,1,1,"none",28.8,121.8,0.191235059760956,0.808764940239044
"122",122,154,153,24.0693310804033,31005.4,-0.0693933402906364,30762.2,243.200000000001,1,1,"none",28,215.4,0.115036976170912,0.884963023829088
"123",123,155,154,27.8445569356057,31286.2,-0.053271377337925,31005.4,280.799999999999,0,1,"none",34.2,246.8,0.121708185053381,0.878291814946619
"124",124,156,155,23.865963534611,31544.6,-0.0708970970050142,31286.2,258.399999999998,2,2,"none",47.2,211.4,0.182521268368136,0.817478731631864
"125",125,157,156,24.7135235408348,31763.8,-0.0649299664967877,31544.6,219.200000000001,2,1,"none",54.4,165,0.247948951686418,0.752051048313582
"126",126,158,157,22.1613979767057,32072.6,-0.0489863613326609,31763.8,308.799999999999,3,1,"none",51.2,257.8,0.165695792880259,0.834304207119741
"127",127,159,158,25.2089441445047,32210.2,-0.108604845488081,32072.6,137.600000000002,2,1,"none",52.2,85.6,0.378809869375907,0.621190130624093
"128",128,160,159,21.889731462853,32273.4,-0.10003462054444,32210.2,63.2000000000007,1,1,"none",30.2,33.2,0.476340694006309,0.523659305993691
"129",129,161,160,21.1491049930521,32334.2,-0.118342411055275,32273.4,60.7999999999993,1,1,"none",31.8,29.2,0.521311475409836,0.478688524590164
"130",130,162,161,19.0442962421467,32381.4,-0.0622740215640221,32334.2,47.2000000000007,1,1,"none",31.2,16.2,0.658227848101266,0.341772151898734
"131",131,163,162,23.5478729385406,32487,-0.100653588455687,32381.4,105.599999999999,1,1,"none",29.6,76.2,0.279773156899811,0.720226843100189
"132",132,164,163,25.3991075204712,32575,-0.0943390562767732,32487,88,1,1,"none",29.8,58.4,0.337868480725624,0.662131519274376
"133",133,165,164,23.6526805034714,32635,-0.0752116833977396,32575,60,1,1,"none",29.4,30.8,0.488372093023256,0.511627906976744
"134",134,166,165,22.7815154653441,32688.6,-0.0837880254501648,32635,53.5999999999985,1,1,"none",29.4,24.4,0.546468401486989,0.453531598513011
"135",135,167,166,31.4611398209944,32816.6,-0.063003975388904,32688.6,128,2,1,"none",51.6,76.6,0.402496099843994,0.597503900156006
"136",136,168,167,24.7961413150963,32900.6,-0.107288011914353,32816.6,84,1,1,"none",29.8,54.4,0.353919239904988,0.646080760095012
"137",137,169,168,26.5849762449636,33015.8,-0.0573998978296046,32900.6,115.200000000004,1,1,"none",30.8,84.6,0.266897746967071,0.733102253032929
"138",138,170,169,20.7114996667655,33100.6,-0.0883918110764998,33015.8,84.7999999999956,1,1,"none",44.6,40.4,0.524705882352941,0.475294117647059
"139",139,171,170,24.3466464536902,33199.8,-0.0622217575233943,33100.6,99.2000000000044,2,1,"none",28.8,70.6,0.289738430583501,0.710261569416499
"140",140,172,171,27.9902778334291,33403.8,-0.0545022138046587,33199.8,204,2,1,"none",31,173.2,0.15181194906954,0.84818805093046
"141",141,173,172,26.0953989104897,33496.6,-0.0610321393510311,33403.8,92.7999999999956,0,1,"none",25.4,67.6,0.273118279569892,0.726881720430107
"142",142,174,173,22.7818408384423,33781.4,-0.00743691442379735,33496.6,284.800000000003,2,1,"none",38.2,246.8,0.134035087719298,0.865964912280702
"143",143,175,174,22.0253008512208,33925.4,-0.0651840546389479,33781.4,144,1,1,"none",35.4,108.8,0.245492371705964,0.754507628294036
"144",144,176,175,23.8596491003599,34026.2,-0.0655965815785731,33925.4,100.799999999996,1,1,"none",29.8,71.2,0.295049504950495,0.704950495049505
"145",145,177,176,26.6696846341157,34138.2,-0.0965053923020207,34026.2,112,1,1,"none",30.6,81.6,0.272727272727273,0.727272727272727
"146",146,178,177,28.4281365599543,34286.2,-0.0629764475402332,34138.2,148,1,1,"none",30,118.2,0.202429149797571,0.797570850202429
"147",147,179,178,24.1650490310493,34350.2,-0.0733443604246489,34286.2,64,1,1,"none",27.4,36.8,0.426791277258567,0.573208722741433
"148",148,180,179,25.1660068484384,34535,-0.0463569559927972,34350.2,184.800000000003,3,1,"none",64.6,120.4,0.349189189189189,0.650810810810811
"149",149,181,180,26.2425081377895,34837.4,-0.0459333866857516,34535,302.400000000001,0,1,"none",29.6,273,0.0978189028420357,0.902181097157964
"150",150,182,181,19.8981052290089,34933.4,-0.0488041333908473,34837.4,96,1,1,"none",28.8,67.4,0.299376299376299,0.700623700623701
"151",151,183,182,22.2194276647951,35147,-0.0563811998295307,34933.4,213.599999999999,1,1,"none",33.6,180.2,0.157156220767072,0.842843779232928
